Num_Acc;senc;catv;occutc;obs;obsm;choc;manv;num_veh
2,016E+11;1;10;0;1;0;3;9;A01
2,016E+11;0;7;0;0;2;3;9;A01
2,016E+11;0;30;0;0;2;1;1;B02
2,016E+11;1;15;0;0;2;2;2;A01
2,016E+11;1;30;0;0;0;6;2;B02
2,016E+11;0;7;0;0;2;2;2;A01
2,016E+11;0;1;0;0;2;4;2;B02
2,016E+11;2;15;0;2;0;1;1;A01
2,016E+11;1;7;0;0;2;1;13;A01
2,016E+11;2;7;0;0;2;1;1;B02
2,016E+11;1;31;0;0;2;1;1;A01
2,016E+11;2;7;0;0;2;1;1;B02
2,016E+11;1;7;0;2;0;1;1;A01
2,016E+11;1;7;0;0;2;6;13;A01
2,016E+11;2;7;0;0;2;1;1;B02
2,016E+11;1;7;0;6;0;1;1;A01
2,016E+11;1;7;0;0;0;4;2;A01
2,016E+11;1;7;0;0;2;1;2;B02
2,016E+11;1;17;0;0;2;0;2;C03
2,016E+11;2;7;0;0;2;4;2;D04
2,016E+11;1;10;0;0;2;1;5;A01
2,016E+11;2;21;0;0;2;1;1;B02
2,016E+11;0;7;0;0;2;1;1;A01
2,016E+11;0;10;0;0;2;4;15;B02
2,016E+11;1;7;0;6;0;1;1;A01
2,016E+11;2;7;0;0;1;1;1;A01
2,016E+11;2;7;0;0;2;7;11;A01
2,016E+11;1;7;0;0;2;1;1;B02
2,016E+11;1;33;0;0;0;7;1;A01
2,016E+11;2;10;0;0;0;6;1;B02
2,016E+11;1;7;0;6;0;1;1;A01
2,016E+11;0;31;0;0;0;2;1;A01
2,016E+11;1;7;0;0;2;1;23;C03
2,016E+11;2;15;0;0;2;1;1;B02
2,016E+11;2;10;0;14;2;7;15;A01
2,016E+11;0;7;0;0;2;5;15;A01
2,016E+11;0;33;0;0;2;1;2;B02
2,016E+11;1;33;0;16;0;1;13;A01
2,016E+11;1;17;0;0;0;0;15;B02
2,016E+11;2;7;0;0;2;7;21;C03
2,016E+11;2;33;0;0;2;1;1;A01
2,016E+11;1;10;0;0;2;8;15;B02
