Num_Acc;catr;voie;v1;v2;circ;nbv;pr;pr1;vosp;prof;plan;lartpc;larrout;surf;infra;situ;env1
2,016E+11;3;95;;;2;2;0;30;0;0;1;0;72;1;0;1;0
2,016E+11;3;649;;;2;2;;;0;1;3;0;0;1;0;1;99
2,016E+11;3;2649;;;2;2;88;700;0;1;1;0;72;9;0;3;0
2,016E+11;3;95;;;2;2;;;0;1;2;0;55;0;0;3;0
2,016E+11;2;2;2;;3;2;;;0;1;1;140;60;0;0;0;0
2,016E+11;3;117;;;2;2;;;0;1;1;0;44;7;0;1;0
2,016E+11;3;932;;;2;0;34;0;0;1;1;0;60;2;0;1;0
2,016E+11;4;0;;;2;2;;;0;0;1;60;0;1;0;1;3
2,016E+11;3;100;;;2;0;;;0;1;2;0;55;1;0;1;0
2,016E+11;3;934;;;2;0;;;0;1;1;27;93;1;0;1;99
2,016E+11;2;2;;;2;2;19;950;0;2;1;0;70;2;0;1;99
2,016E+11;3;121;;;2;2;;;0;1;4;0;0;1;0;1;0
2,016E+11;3;963;;;2;2;;;0;1;4;0;0;2;0;1;99
2,016E+11;2;25;;;2;2;4;900;0;1;1;0;76;1;0;1;0
2,016E+11;3;939;;;2;0;199;812;0;2;1;0;73;1;0;3;99
2,016E+11;3;939;;;2;2;193;890;0;1;1;0;72;1;0;1;0
2,016E+11;2;25;;;2;0;12;500;0;1;1;0;73;2;0;1;99
2,016E+11;1;16;;;3;2;;;0;3;1;14;73;1;0;1;0
2,016E+11;1;16;;;3;2;75;800;0;0;1;0;0;2;0;3;0
2,016E+11;1;16;;;3;4;;;0;1;1;10;60;1;1;1;0
2,016E+11;1;16;;;3;2;69;200;0;4;2;15;81;1;0;1;0
2,016E+11;1;16;;;3;4;242;10;0;1;1;10;70;1;7;1;0
2,016E+11;1;16;;;3;0;225;500;0;1;1;5;72;1;2;1;0
2,016E+11;1;16;;A;3;3;244;400;0;1;1;15;115;1;3;1;0
2,016E+11;1;16;;;3;2;223;400;0;1;2;5;73;1;0;2;0
2,016E+11;1;16;;;3;0;223;600;0;1;1;5;70;1;0;1;0
2,016E+11;1;16;;;3;2;63;100;0;1;1;10;70;3;0;1;0
2,016E+11;1;16;;;1;2;56;600;0;2;1;0;35;1;0;1;99
2,016E+11;1;16;;;3;3;56;650;0;2;1;10;125;1;0;1;0
2,016E+11;3;15;;;2;2;4;20;0;0;0;0;60;1;5;0;99
2,016E+11;4;;;;2;2;;;0;0;1;0;47;1;0;1;99
2,016E+11;3;11;;e;2;2;11;760;0;1;1;0;0;1;0;1;0
2,016E+11;4;0;;;2;0;;;0;1;1;0;75;1;0;1;0
2,016E+11;3;6;;;2;2;1;80;0;4;1;0;0;4;0;1;0
2,016E+11;3;34;;;2;2;7;500;0;1;2;0;70;1;0;1;0
2,016E+11;3;8;;;2;2;16;325;0;1;1;0;0;1;0;1;0
2,016E+11;3;34;;;2;2;;;0;1;1;0;58;1;0;1;99
2,016E+11;3;36;;;2;2;17;800;0;1;1;0;58;1;0;1;99
2,016E+11;3;919;;;2;2;6;950;0;1;1;0;63;1;0;1;0
2,016E+11;3;13;;;2;2;10;260;0;1;3;0;40;1;0;1;0
2,016E+11;3;917;;;2;2;13;700;0;1;1;0;74;2;0;3;0
2,016E+11;3;15;;;2;2;18;410;0;2;1;0;0;1;0;1;0
2,016E+11;3;57;;;2;2;4;500;0;2;4;70;0;8;0;1;0
2,016E+11;3;919;;;2;2;27;400;0;2;3;0;68;2;0;1;99
2,016E+11;3;341;;;2;2;6;750;0;4;1;0;76;1;5;1;99
2,016E+11;3;937;;;2;0;8;100;0;0;1;0;70;2;0;1;99
2,016E+11;3;55;;;2;0;;;0;0;1;0;0;2;0;3;99
2,016E+11;3;917;;;2;2;16;55;0;1;1;0;75;1;0;1;0
2,016E+11;3;37;;E;0;2;11;800;0;0;3;0;48;1;0;3;99
2,016E+11;3;21;;;2;2;7;300;0;1;1;0;0;0;5;1;99
2,016E+11;3;939;;;2;2;;;0;1;1;0;0;2;0;1;99
2,016E+11;3;939;;;2;3;;;3;0;1;0;95;2;5;1;99
2,016E+11;4;;;e;2;0;;;0;1;0;0;0;1;0;1;99
2,016E+11;3;950;;;3;0;11;100;0;1;1;0;0;1;0;1;99
2,016E+11;3;950;;;2;2;17;1095;0;1;3;0;60;1;0;1;0
2,016E+11;3;950;;;3;2;14;500;0;1;1;60;144;2;0;1;99
2,016E+11;4;0;;;2;2;;;0;1;1;0;50;1;0;1;0
2,016E+11;3;943;;;2;2;50;750;0;2;1;0;73;2;0;3;99
2,016E+11;3;186;;;2;0;0;14;0;2;3;0;70;1;2;1;99
2,016E+11;4;0;;;2;2;;;0;0;1;0;42;1;0;1;0
2,016E+11;3;937;;;2;2;32;100;0;1;1;0;80;1;0;1;99
2,016E+11;3;341;;;2;2;48;500;0;2;1;0;69;2;0;1;0
2,016E+11;3;171;;;2;2;22;500;0;1;3;0;60;2;0;3;99
2,016E+11;3;947;;;2;2;23;0;0;0;1;0;65;1;0;1;99
2,016E+11;3;947;;;2;2;15;100;0;1;1;0;70;1;0;1;0
2,016E+11;3;947;;;2;1;;;0;1;1;0;0;1;0;1;99
2,016E+11;3;169;;;2;2;;;0;1;2;0;80;2;0;3;0
2,016E+11;3;174;;E;2;1;14;100;0;1;1;0;56;1;0;1;99
2,016E+11;3;254;;E;2;2;26;800;0;1;2;0;0;1;0;1;0
2,016E+11;3;127;;E;2;2;69;350;0;1;3;0;61;1;0;1;99
2,016E+11;3;232;;;2;2;7;25;0;1;1;0;0;1;0;1;99
2,016E+11;4;0;;;2;2;;;0;2;2;0;21;9;0;1;0
2,016E+11;3;191;;;2;2;44;60;0;1;1;0;0;2;5;1;99
2,016E+11;3;940;;;2;2;70;550;0;1;1;0;0;1;0;1;99
2,016E+11;4;0;;;2;2;;;0;0;1;0;0;1;0;3;0
2,016E+11;3;231;;;2;2;4;500;0;1;3;0;63;1;5;1;0
2,016E+11;3;191;;;2;2;56;0;0;1;4;0;62;1;0;1;0
2,016E+11;3;119;;;2;2;44;800;0;1;1;0;84;5;0;1;0
2,016E+11;3;940;;;2;2;38;750;0;0;0;0;79;1;0;0;99
2,016E+11;3;940;;;2;0;34;750;0;2;1;0;75;2;0;1;0
2,016E+11;3;301;;;3;2;1;100;0;1;1;0;67;1;0;2;99
2,016E+11;3;75;;;2;2;23;800;0;1;1;0;60;1;0;1;99
2,016E+11;4;0;;;2;2;;;0;2;1;0;59;1;0;1;99
2,016E+11;3;301;;;3;2;2;700;0;1;1;0;73;1;0;1;99
2,016E+11;3;341;;;2;2;20;100;0;1;1;0;68;1;0;1;99
2,016E+11;4;0;;;2;2;;;0;1;1;0;49;1;0;1;99
2,016E+11;3;188;;;3;2;25;400;1;1;1;30;34;1;0;1;99
2,016E+11;3;301;;;3;2;5;150;0;1;1;15;74;1;2;1;99
2,016E+11;3;939;;;2;2;8;85;0;1;1;0;70;1;0;4;99
2,016E+11;3;146;;;2;2;1;600;0;1;1;0;60;1;0;1;0
2,016E+11;3;928;;;2;2;30;375;0;0;1;0;80;2;0;1;3
2,016E+11;3;130;;D;2;2;;;0;0;1;0;25;1;0;1;99
2,016E+11;3;940;;;2;2;29;200;1;1;1;0;75;1;0;1;99
2,016E+11;3;148;;;2;1;36;920;0;0;1;0;0;1;0;1;0
2,016E+11;3;940;;;2;0;23;525;0;1;1;0;0;1;0;4;0
2,016E+11;3;349;;;2;0;19;400;0;1;3;0;0;2;0;1;0
2,016E+11;4;0;;;2;0;;;0;1;3;0;50;1;0;1;99
2,016E+11;3;157;;;2;2;23;200;0;1;1;0;50;1;0;1;0
2,016E+11;3;196;;;2;0;4;900;0;2;1;0;0;1;0;1;99
2,016E+11;3;157;;;2;0;20;500;0;1;3;0;60;1;0;1;0
2,016E+11;4;0;;;2;2;;;0;1;1;0;0;1;0;1;0
2,016E+11;3;196;;;2;2;0;150;0;0;1;0;0;1;0;1;99
2,016E+11;3;943;;;2;2;59;645;0;1;1;0;0;1;0;4;99
2,016E+11;3;77;;;2;2;;;0;2;1;22;80;2;0;1;99
2,016E+11;4;0;;;2;2;;;0;1;1;30;60;1;0;1;99
2,016E+11;4;0;;;2;0;;;0;2;2;0;32;1;0;3;0
2,016E+11;3;940;;;2;0;92;10;0;1;1;0;0;1;5;1;99
2,016E+11;3;219;;E;2;2;13;960;0;1;1;0;0;2;4;3;0
2,016E+11;3;218;;E;2;0;22;475;0;1;1;0;0;1;5;1;0
2,016E+11;4;0;;;2;2;;;0;2;2;0;0;1;0;1;0
2,016E+11;3;943;;;2;0;85;900;0;1;1;0;0;1;0;1;0
2,016E+11;3;229;;;2;2;4;0;0;0;1;61;61;1;0;1;99
2,016E+11;3;158;;;2;0;17;800;0;1;2;0;62;1;0;1;0
2,016E+11;3;341;;;2;2;64;500;0;1;1;0;71;1;0;3;99
2,016E+11;2;42;;;2;2;34;200;0;1;2;0;70;1;0;1;0
2,016E+11;3;77;;;2;2;29;900;0;1;0;0;60;1;0;1;0
2,016E+11;4;0;;;2;2;;;0;0;1;0;48;0;0;1;3
2,016E+11;3;94;;;2;0;21;500;0;1;1;0;70;2;0;4;0
2,016E+11;3;343;;;2;2;1;0;0;1;1;0;60;1;0;1;0
2,016E+11;3;841;;;2;2;0;140;0;2;2;0;70;0;0;1;99
2,016E+11;3;92;;;2;2;1;400;0;1;1;0;0;2;0;1;0
2,016E+11;3;941;;;2;2;25;0;0;1;1;0;72;1;0;1;0
2,016E+11;3;841;;;2;2;0;3194;0;1;1;0;61;1;0;1;0
2,016E+11;3;104;;;2;2;25;400;0;1;1;0;67;1;0;1;99
2,016E+11;3;8;;;2;0;42;700;0;0;2;0;76;1;0;1;0
2,016E+11;3;77;;;2;2;22;250;0;0;1;0;57;1;0;3;0
2,016E+11;3;99;;;2;2;14;280;0;2;4;0;42;1;0;1;0
2,016E+11;3;95;;;2;2;1;600;0;1;1;0;53;1;0;1;99
2,016E+11;3;939;;;3;4;151;0;0;4;1;70;145;2;5;1;99
2,016E+11;3;941;;;2;3;100;650;0;1;1;0;120;2;0;3;0
